Dataset: 46159 | Batch: 256 | Steps/epoch: 180
Params: 18.0M
Starting training...
step    100 | loss 0.9557 | lr 9.90e-06 | 0.7 steps/s
step    200 | loss 0.4613 | lr 1.99e-05 | 10.4 steps/s
step    300 | loss 0.2233 | lr 2.99e-05 | 10.6 steps/s
step    400 | loss 0.1733 | lr 3.99e-05 | 10.4 steps/s
step    500 | loss 0.1510 | lr 4.99e-05 | 10.6 steps/s
step    600 | loss 0.1400 | lr 5.99e-05 | 10.4 steps/s
step    700 | loss 0.1314 | lr 6.99e-05 | 10.6 steps/s
step    800 | loss 0.1258 | lr 7.99e-05 | 10.4 steps/s
step    900 | loss 0.1168 | lr 8.99e-05 | 10.6 steps/s
step   1000 | loss 0.1137 | lr 9.99e-05 | 10.4 steps/s
step   1100 | loss 0.1092 | lr 1.10e-04 | 10.5 steps/s
step   1200 | loss 0.1058 | lr 1.20e-04 | 10.6 steps/s
step   1300 | loss 0.1018 | lr 1.30e-04 | 10.4 steps/s
step   1400 | loss 0.0992 | lr 1.40e-04 | 10.6 steps/s
step   1500 | loss 0.0998 | lr 1.50e-04 | 10.4 steps/s
step   1600 | loss 0.0925 | lr 1.60e-04 | 10.6 steps/s
step   1700 | loss 0.0910 | lr 1.70e-04 | 10.4 steps/s
step   1800 | loss 0.0901 | lr 1.80e-04 | 10.6 steps/s
step   1900 | loss 0.0890 | lr 1.90e-04 | 10.4 steps/s
step   2000 | loss 0.0844 | lr 2.00e-04 | 10.4 steps/s
step   2100 | loss 0.0830 | lr 2.00e-04 | 10.6 steps/s
step   2200 | loss 0.0825 | lr 2.00e-04 | 10.4 steps/s
step   2300 | loss 0.0799 | lr 2.00e-04 | 10.6 steps/s
step   2400 | loss 0.0796 | lr 2.00e-04 | 10.4 steps/s
step   2500 | loss 0.0775 | lr 2.00e-04 | 10.6 steps/s
step   2600 | loss 0.0761 | lr 2.00e-04 | 10.4 steps/s
step   2700 | loss 0.0762 | lr 2.00e-04 | 10.6 steps/s
step   2800 | loss 0.0765 | lr 2.00e-04 | 10.4 steps/s
step   2900 | loss 0.0759 | lr 2.00e-04 | 10.4 steps/s
step   3000 | loss 0.0747 | lr 2.00e-04 | 10.6 steps/s
step   3100 | loss 0.0741 | lr 2.00e-04 | 10.4 steps/s
step   3200 | loss 0.0734 | lr 2.00e-04 | 10.6 steps/s
step   3300 | loss 0.0729 | lr 2.00e-04 | 10.4 steps/s
step   3400 | loss 0.0715 | lr 2.00e-04 | 10.6 steps/s
step   3500 | loss 0.0724 | lr 2.00e-04 | 10.5 steps/s
step   3600 | loss 0.0717 | lr 2.00e-04 | 10.6 steps/s
step   3700 | loss 0.0703 | lr 2.00e-04 | 10.4 steps/s
