Dataset: 46159 | Batch: 64 | Steps/epoch: 721
Params: 79.7M
Starting training...
step    100 | loss 0.8974 | lr 9.90e-06 | 2.56 steps/s
step    200 | loss 0.3087 | lr 1.99e-05 | 2.80 steps/s
step    300 | loss 0.1676 | lr 2.99e-05 | 2.80 steps/s
step    400 | loss 0.1371 | lr 3.99e-05 | 2.80 steps/s
step    500 | loss 0.1232 | lr 4.99e-05 | 2.80 steps/s
step    600 | loss 0.1155 | lr 5.99e-05 | 2.80 steps/s
step    700 | loss 0.1035 | lr 6.99e-05 | 2.80 steps/s
step    800 | loss 0.1018 | lr 7.99e-05 | 2.80 steps/s
step    900 | loss 0.0928 | lr 8.99e-05 | 2.80 steps/s
step   1000 | loss 0.0898 | lr 9.99e-05 | 2.80 steps/s
step   1100 | loss 0.0850 | lr 1.10e-04 | 2.80 steps/s
step   1200 | loss 0.0789 | lr 1.20e-04 | 2.80 steps/s
step   1300 | loss 0.0745 | lr 1.30e-04 | 2.80 steps/s
step   1400 | loss 0.0689 | lr 1.40e-04 | 2.80 steps/s
step   1500 | loss 0.0670 | lr 1.50e-04 | 2.80 steps/s
step   1600 | loss 0.0654 | lr 1.60e-04 | 2.80 steps/s
step   1700 | loss 0.0651 | lr 1.70e-04 | 2.80 steps/s
step   1800 | loss 0.0613 | lr 1.80e-04 | 2.80 steps/s
step   1900 | loss 0.0608 | lr 1.90e-04 | 2.80 steps/s
step   2000 | loss 0.0588 | lr 2.00e-04 | 2.80 steps/s
step   2100 | loss 0.0570 | lr 2.00e-04 | 2.79 steps/s
step   2200 | loss 0.0564 | lr 2.00e-04 | 2.79 steps/s
step   2300 | loss 0.0530 | lr 2.00e-04 | 2.80 steps/s
step   2400 | loss 0.0528 | lr 2.00e-04 | 2.80 steps/s
step   2500 | loss 0.0558 | lr 2.00e-04 | 2.80 steps/s
step   2600 | loss 0.0517 | lr 2.00e-04 | 2.80 steps/s
step   2700 | loss 0.0496 | lr 2.00e-04 | 2.80 steps/s
step   2800 | loss 0.0533 | lr 2.00e-04 | 2.80 steps/s
step   2900 | loss 0.0526 | lr 2.00e-04 | 2.80 steps/s
step   3000 | loss 0.0502 | lr 2.00e-04 | 2.80 steps/s
step   3100 | loss 0.0505 | lr 2.00e-04 | 2.80 steps/s
step   3200 | loss 0.0496 | lr 2.00e-04 | 2.80 steps/s
step   3300 | loss 0.0509 | lr 2.00e-04 | 2.80 steps/s
step   3400 | loss 0.0495 | lr 2.00e-04 | 2.80 steps/s
step   3500 | loss 0.0519 | lr 2.00e-04 | 2.80 steps/s
step   3600 | loss 0.0500 | lr 2.00e-04 | 2.80 steps/s
step   3700 | loss 0.0482 | lr 2.00e-04 | 2.80 steps/s
step   3800 | loss 0.0484 | lr 2.00e-04 | 2.80 steps/s
step   3900 | loss 0.0473 | lr 2.00e-04 | 2.80 steps/s
